date_id,month_name,month_num,day_name,day_num,date,year,week_of_year,week_of_month
288,October,10,Thursday,5,2020-10-15,2020,42,3
289,October,10,Friday,6,2020-10-16,2020,42,3
290,October,10,Saturday,7,2020-10-17,2020,42,3
291,October,10,Sunday,1,2020-10-18,2020,43,4
292,October,10,Monday,2,2020-10-19,2020,43,4
293,October,10,Tuesday,3,2020-10-20,2020,43,4
294,October,10,Wednesday,4,2020-10-21,2020,43,4
295,October,10,Thursday,5,2020-10-22,2020,43,4
296,October,10,Friday,6,2020-10-23,2020,43,4
297,October,10,Saturday,7,2020-10-24,2020,43,4
298,October,10,Sunday,1,2020-10-25,2020,44,5
299,October,10,Monday,2,2020-10-26,2020,44,5
300,October,10,Tuesday,3,2020-10-27,2020,44,5
301,October,10,Wednesday,4,2020-10-28,2020,44,5
302,October,10,Thursday,5,2020-10-29,2020,44,5
303,October,10,Friday,6,2020-10-30,2020,44,5
304,October,10,Saturday,7,2020-10-31,2020,44,5
305,November,11,Sunday,1,2020-11-01,2020,45,2
306,November,11,Monday,2,2020-11-02,2020,45,2
307,November,11,Tuesday,3,2020-11-03,2020,45,2
308,November,11,Wednesday,4,2020-11-04,2020,45,2
309,November,11,Thursday,5,2020-11-05,2020,45,2
310,November,11,Friday,6,2020-11-06,2020,45,2
311,November,11,Saturday,7,2020-11-07,2020,45,2
312,November,11,Sunday,1,2020-11-08,2020,46,3
313,November,11,Monday,2,2020-11-09,2020,46,3
314,November,11,Tuesday,3,2020-11-10,2020,46,3
315,November,11,Wednesday,4,2020-11-11,2020,46,3
316,November,11,Thursday,5,2020-11-12,2020,46,3
317,November,11,Friday,6,2020-11-13,2020,46,3
318,November,11,Saturday,7,2020-11-14,2020,46,3
319,November,11,Sunday,1,2020-11-15,2020,47,4
320,November,11,Monday,2,2020-11-16,2020,47,4
321,November,11,Tuesday,3,2020-11-17,2020,47,4
322,November,11,Wednesday,4,2020-11-18,2020,47,4
323,November,11,Thursday,5,2020-11-19,2020,47,4
324,November,11,Friday,6,2020-11-20,2020,47,4
325,November,11,Saturday,7,2020-11-21,2020,47,4
326,November,11,Sunday,1,2020-11-22,2020,48,5
327,November,11,Monday,2,2020-11-23,2020,48,5
328,November,11,Tuesday,3,2020-11-24,2020,48,5
329,November,11,Wednesday,4,2020-11-25,2020,48,5
330,November,11,Thursday,5,2020-11-26,2020,48,5
331,November,11,Friday,6,2020-11-27,2020,48,5
332,November,11,Saturday,7,2020-11-28,2020,48,5
333,November,11,Sunday,1,2020-11-29,2020,49,6
334,November,11,Monday,2,2020-11-30,2020,49,6
335,December,12,Tuesday,3,2020-12-01,2020,49,1
336,December,12,Wednesday,4,2020-12-02,2020,49,1
337,December,12,Thursday,5,2020-12-03,2020,49,1
338,December,12,Friday,6,2020-12-04,2020,49,1
339,December,12,Saturday,7,2020-12-05,2020,49,1
340,December,12,Sunday,1,2020-12-06,2020,50,2
341,December,12,Monday,2,2020-12-07,2020,50,2
342,December,12,Tuesday,3,2020-12-08,2020,50,2
343,December,12,Wednesday,4,2020-12-09,2020,50,2
344,December,12,Thursday,5,2020-12-10,2020,50,2
345,December,12,Friday,6,2020-12-11,2020,50,2
346,December,12,Saturday,7,2020-12-12,2020,50,2
347,December,12,Sunday,1,2020-12-13,2020,51,3
348,December,12,Monday,2,2020-12-14,2020,51,3
349,December,12,Tuesday,3,2020-12-15,2020,51,3
350,December,12,Wednesday,4,2020-12-16,2020,51,3
351,December,12,Thursday,5,2020-12-17,2020,51,3
352,December,12,Friday,6,2020-12-18,2020,51,3
353,December,12,Saturday,7,2020-12-19,2020,51,3
354,December,12,Sunday,1,2020-12-20,2020,52,4
355,December,12,Monday,2,2020-12-21,2020,52,4
356,December,12,Tuesday,3,2020-12-22,2020,52,4
357,December,12,Wednesday,4,2020-12-23,2020,52,4
358,December,12,Thursday,5,2020-12-24,2020,52,4
359,December,12,Friday,6,2020-12-25,2020,52,4
360,December,12,Saturday,7,2020-12-26,2020,52,4
361,December,12,Sunday,1,2020-12-27,2020,53,5
362,December,12,Monday,2,2020-12-28,2020,53,5
363,December,12,Tuesday,3,2020-12-29,2020,53,5
364,December,12,Wednesday,4,2020-12-30,2020,53,5
365,December,12,Thursday,5,2020-12-31,2020,53,5
366,January,1,Friday,6,2021-01-01,2021,1,1
367,January,1,Saturday,7,2021-01-02,2021,1,1
368,January,1,Sunday,1,2021-01-03,2021,2,2
369,January,1,Monday,2,2021-01-04,2021,2,-51
370,January,1,Tuesday,3,2021-01-05,2021,2,-51
371,January,1,Wednesday,4,2021-01-06,2021,2,-51
372,January,1,Thursday,5,2021-01-07,2021,2,-51
373,January,1,Friday,6,2021-01-08,2021,2,-51
374,January,1,Saturday,7,2021-01-09,2021,2,-51
375,January,1,Sunday,1,2021-01-10,2021,3,-50
376,January,1,Monday,2,2021-01-11,2021,3,-50
377,January,1,Tuesday,3,2021-01-12,2021,3,-50
378,January,1,Wednesday,4,2021-01-13,2021,3,-50
379,January,1,Thursday,5,2021-01-14,2021,3,-50
380,January,1,Friday,6,2021-01-15,2021,3,-50
381,January,1,Saturday,7,2021-01-16,2021,3,-50
382,January,1,Sunday,1,2021-01-17,2021,4,-49
383,January,1,Monday,2,2021-01-18,2021,4,-49
384,January,1,Tuesday,3,2021-01-19,2021,4,-49
385,January,1,Wednesday,4,2021-01-20,2021,4,-49
386,January,1,Thursday,5,2021-01-21,2021,4,-49
387,January,1,Friday,6,2021-01-22,2021,4,-49
388,January,1,Saturday,7,2021-01-23,2021,4,-49
389,January,1,Sunday,1,2021-01-24,2021,5,-48
390,January,1,Monday,2,2021-01-25,2021,5,-48
391,January,1,Tuesday,3,2021-01-26,2021,5,-48
392,January,1,Wednesday,4,2021-01-27,2021,5,-48
393,January,1,Thursday,5,2021-01-28,2021,5,-48
394,January,1,Friday,6,2021-01-29,2021,5,-48
395,January,1,Saturday,7,2021-01-30,2021,5,-48
396,January,1,Sunday,1,2021-01-31,2021,6,-47
